"client_id","nombre_app","institucion"
"61ac1fc1e3c848728e8b665f185e2355",Concesiones Marítimas,Subsecretaría para las Fuerzas Armadas
"621f2d0c79d0499eb8e6a538feb08e37",SIMPLE,Gobierno Regional de Arica y Parinacota
"62a08a230893468a861b8b7abfffdf25",Trámites de ClaveÚnica para Instituciones,Subsecretaría General de la Presidencia
"9daf76d428b549b9899a504f4d5c6268",SISA,Agroseguros
"44568175e9ff4fdcb98cd4e9d368ce11",Sistema Integrado DAES,Subsecretaría de Economía y Empresas de Menor Tamaño
"625c85747d2c430d8b68c06d2cab9566",Gobierno Regional del Maule,e-Process
"449f058c212e48fd816264e10ee2d594",Agencia de Calidad de la Educación,Agencia de Calidad de la Educación
"51e1587ac2364f19bb4a9344841af223",www.sii.cl,Servicio de Impuestos Internos
"4830b97416a14d1485ccb85c9f9baa4e",Trámites SP,Superintendencia de Penssiones
"2ce55fe8602a4b9e85a93c87837b397e",Municipalidad de Calama,Municipalidad de Calama
"62a5285108824e269a3fa09e9c233440",SEC - Atención Ciudadana,Superintendencia de Electricidad y Combustibles
"638aea308ffb483198d5c1387e2cc017","Portal ""Mi SUPERIR""",Superintendencia de Insolvencia y Reemprendimiento
"63a091009fcd4681aa25fcdf98cbc399",Portal Navidad,Municipalidad de Navidad
"6420f4699e704603b90df684e30899b3",Araucania Apps,Gobierno Regional de la Región de la Araucanía
"64b50202d6b74bfcb78c7342823e0f4f",Cesantía,Comisión Administradora de Sistema de Créditos para Estudios Superiores
"64d9be8046574fbfbc1fb14c9912afea",ASDigital,Ministerio de salud
"64fc0ead31a1407796b68c310fd19c39",Simple,Municipalidad de San Antonio
"64fd691c30c04858ae676b882792bf41",SIMPLE,Subsecretaría de Derechos Humanos
"6537800c945f483e9472bbabc2f6b37f",SRCeI Soporte ClaveÚnica,Subsecretaría General de la Presidencia
"6638e8be97b54a8a917c20284ee6082d",Consulta Honorarios,Universidad de Antofagasta
"671dca542e094f3d90cb15883bd89274",DOM Digital,Municipalidad de San Pedro de la Paz
"496bbab1df6444cb9490051281608749",SIMPLE,Secretaría de Gobierno Digital
"4ceb7b9d70e14aa8af8e6a8397a78990",Superir,Superintendencia de Insolvencia y Reemprendimiento
"31d5f6726a614ebd9734c020e6e5d074",Municipalidad de Pedro Aguirre Cerda,Municipalidad de Pedro Aguirre Cerda
"3ee3884163bf4c18b304ee91c2ec771f",SIMPLE,Dirección de Compras y Contratación Pública
"4127ae8596a4453085bb6d81cc404b8c",Gendarmeria de Chile,Gendarmería de Chile
"6743ad379b094f98ad903d0f0304add1",Procedimiento Administrativo Electrónico,Superintendencia de Seguridad Social
"68244c73eb7a429a9c70a3dbf247293f",Bolsa nacional de empleo,Subsecretaría del Trabajo
"68520857889c46ae98690cf6d0dfa26b",Matrícula en Línea,Universidad de Los Lagos
"68b13a1228424526b43e2f78716efd3b",Pagos Diario Oficial,Subsecretaría del Interior
"68d4624347ba4cfc950a5b3caa1b0bdf",Comisión Nacional de Energía - Cerofilas,Comisión Nacional de Energía
"6a2251c68dba48659c46874d209b6c8a",CAJ Región Biobío,Corporación de Asistencia Judicial de la Región del Biobío
"6a8618912ba54ba0a69372da4d320d99",salud digital sso,Servicio Salud Osorno
"7e3ed8b102654d3aa844a2dc9a7ac4b1",Portal Anatomia Patologica,Servicio de Salud Metropolitano Sur
"6c937e52183f4a39a47e23f9235a2133",Servicio Nacional de Menores - Cerofilas,Servicio Nacional de Menores
"6d252a9b7f244a0180f6c2a1ff39d2fe",Sistemas Control de Extracciones Efectivas,Dirección General de Aguas
"6d89bb0e29674fd7a82f5c811db28f83",Concesión de Acuicultura,Subsecretaría de Pesca y Acuicultura
"6de4019d68244e96a735838c9a3858b0",Registro de consultores,Subsecretaría de Pesca y Acuicultura
"6e12533e73a048efa8bcc0a30f2b7684",Dirección General de Movilización Nacional,Dirección General de Movilización Nacional
"6eb9828de3db4c528be7976f7fc1d848",Simo Sernatur,Servicio Nacional de Turismo
"70fd978d824c4fdc909e815f04cbb466",CGR,Contraloría General de la República
"7249a9adb1c343aba8db068dbe0c3795",Simple Trámites,Subsecretaría de Evaluación Social
"7322ef3b7dad4763bd20d841251ff0b5",Salud Aysén,Servicio de Salud Aysen
"7334b50fca124ff4a9a68bcb86eb3582",CFT Estatal Tarapaca,Centro de Formación Técnica de la Región de Tarapacá
"734e900a3dce4c15b0ef316d88b09def",RECIMIV,Subsecretaría de Transportes
"742521491f624a78a2b81aaf331eca4c",DJ Simple,Servicio Agrícola y Ganadero
"748b8272352c431486f41ef120bb0018",SIAC - OIRS,Instituto de Salud Pública de Chile
"74e60dc3bc26493d81088e4d322b7c39",SignPass,BPO Advisors SpA
"74e8137eef1c4b5f8a3a358f4e8b5264",APPCAPREDENA,Caja de Previsión de la Defensa Nacional
"74ed652f9a9242c590651fe4cff0d492",Ingreso a Intranet UTA,Universidad de Tarapacá
"75307209043c4f8ea213f03c65e2023c",Servicio Bienestar,Junta Nacional de Jardines Infantiles
"75beb592846a4eb3a6859376d1e1063b",Hospital En Tus Manos,Servicio Salud Antofagasta
"75de3dbfbc6640b496c7ae4b291aad05",Ris Investigación,MDSF
"75f9d382b18d402fae4a2061eb768169",Municipalidad Las Condes,Municipalidad de Las Condes
"76f7fe7d1a254857a6f6ba019cb2cbe4",Agenda Pública,Subsecretaría de Prevención del Delito
"7728a67576ea4aac8d66e397e5e8cb45",SOLICITUDES RRHH,Centro de Formación Técnica de la Región de Valparaíso
"78b147a9c73f4d6d8f6d1e0f0b082556",Afiliación voluntaria en AFC,Administradora de Fondos de Cesantía
"79275bffd6514f5c826d1a34526c8326",Consulta Ciudadana,Ministerio del Medio Ambiente
"41d123ba0dec4185bf5124ee5aea5a84",Ministerio Secretaria General de la Presidencia,Segpres
"7a81c7130737421db33e3a98906958e2",SIMPLE,Subsecretaría de Relaciones Exteriores
"7bbedbef60ee482ea59999db5de21221",SIIPIR GORE-V,Gobierno Regional de la Región de Valparaíso
"7be34ebb265a4a7cb9ba796f4bab7aa5",.:: OIRS - INJUV ::.,Instituto Nacional de la Juventud
"7c3210a64760404aac705328e751ebe8",SIMPLE,Municipalidad de Santo Domingo
"7c81c65396d04af4859a383bf7539b5e",Municipalidad de Huechuraba - Simple,Municipalidad de Huechuraba
c6c0e0151ecd46939d46692130b2c06a,Auto Reporte C19,Subsecretaría de Salud Pública
"66a493258641428ea9797fbe33fc8b27",ChileAtiende,Instituto de Previsión Social
"65a7c85f21154e9ab4ca00675da7bfa1",Dom Digital,municipalidad pedro aguirre cerda
"6d52b87b5a964c61ad7e28afd9499f16",Mis Trámites CGR,Contraloría General de la República
"6d52b87b5a964c61ad7e28afd9499f18",Mis Trámites CGR,Contraloría General de la República
"73a70ddc48e349d988860ae685eaa133",SUBSECRETARÍA DE PREVENCIÓN DEL DELITO,Subsecretaria de Prevención del Delito
"67eb30db49f240b08ab2b3f422f92cdf",Portal MiDT,Dirección del Trabajo
"7d0c4697a4f849e38021ccb192e0b4a7","Niños, Niñas y Adolescentes",Subsecretaría de Evaluación Social
"7d713331f1404d66975919f9b9a5acf8",Donaciones para reconstrucción,Subsecretaría de Hacienda
"7e82063f16184d2497c1d9a81abe1925",Portal de Certificados UBB,Universidad del Biobío
"7f72ceeda31b42918c9faec1c95aac99",Registro Nacional de Gran Quemados,Ministerio de Salud
"7fb306ac5a6d4bbcb720e1de16336508",Escritorio Digital SISS,Superintendencia de Servicios Sanitarios
"7fe4160f75f34ec2843e6a18c6a631c1",IMPULSA INVERSIÓN AYSEN,Gobierno Regional de la Región de Aysén del General Carlos Ibáñez del Campo
"80a85cdf159a4ceea99c4025d1c03962",Inscripción y Actualización de Profesionales de Salud,Fondo Nacional de Salud
"818d938a32ad4dc19cfd13f6575ddc5a",SSO,Servicio Agricola y Ganadero
"81e6742c521c4774b412c0e730409d97",Formulario Pesca GORE Aysen,Gobierno Regional de la Región de Aysén del General Carlos Ibáñez del Campo
"81f1112efb014b568c2dbd217ad2407b",SSBIOBIO.CL,Servicio de Salud Biobío
"8239e22a22f84527935fe0d66f5479c1",Portal de Atención Ciudadana,Subsecretaría de Telecomunicaciones
"827449478e3f40b1aa36f146bc285aa9",Pacientes SSVQ,Servicio de Salud Viña del Mar Quillota
"834cf291d50b4e3299f82dfeba3c998e",Requisitos para Ofertar,Dirección de Compras y Contratación Pública
"835c8e988d6f4afaa269f7a384c2981f",tramitesempresas,subtel
"83b5865df3ba4e0a9855e3af5a41f9aa",Municipalidad de Quilicura - Simple,Municipalidad de Quilicura
"6d7091b14a034cde98fefcf31c9dbbc8",AutAUT,NCHELE
"71ae9a1dcafa49fcb067a62563085b06",SIMIN,Servicio Nacional de Geología y Minería
"87d94dfe975543ab9a879aa82cd47d93",Formularios GORE Aysén,Gobierno Regional de la Región de Aysén del General Carlos Ibáñez del Campo
"87da54901083486bb174fca1f06ce402",Aula Virtual SENAME,Servicio Nacional de Menores
"888fb026b62d4a75920fe44a0af43ad4",Subsecretaría de Transportes,Subsecretaría de Transportes
"894c246eb00a482da371617f75149e30",Contraloria General de la Republica,CONTRALORIA
"895228d1c9ac4b7ea3f2b8f88d049192",Plan Nacional de Derechos Huma,Subsecretaría de Derechos Humanos
"8af63e063a2a42098caed55eeb24acf0",Acceso Clave Unica UFRO,Universidad de La Frontera
"8b6597a56ec4424ca8d71fdfd2827ff9",DOM DIGITAL,Municipalidad de Curicó
"8b989744e1fa47959372c261c781e1f2",Sistema de gestión municipal,Municipalidad de Río Claro
"8c1942e0cdce4f71b53f62474322f0b7",Superintendencia de Electricidad y Combustibles,SUPERINTENDECIA DE ELECTRICIDAD Y COMBUSTIBLES
"8c4b94e7835b495e90eeca57d62cd1ff",Intranet SEIM,Subsecretaría de Transportes
