institucion,comunidad_modal
SERVICIO LOCAL DE EDUCACION PUBLICA DE PUNILLA CORDILLERA,3
SERVICIO NACIONAL DE ADUANAS,4
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,1
SERVICIO NACIONAL DE GEOLOGIA Y MINERIA,4
SERVICIO NACIONAL DE LA DISCAPACIDAD,1
SERVICIO NACIONAL DE LA MUJER Y LA EQUIDAD DE GENERO,4
SERVICIO NACIONAL DE MENORES,4
SERVICIO NACIONAL DE MIGRACIONES,1
SERVICIO NACIONAL DE PESCA Y ACUICULTURA,4
SERVICIO NACIONAL DE PROTECCION ESPECIALIZADA A LA NINEZ Y ADOLESCENCIA,4
SERVICIO NACIONAL DE TURISMO,4
SERVICIO NACIONAL DEL ADULTO MAYOR,0
SERVICIO NACIONAL DEL CONSUMIDOR,4
SERVICIO NACIONAL DEL PATRIMONIO CULTURAL,4
SERVICIO NACIONAL PARA LA PREVENCION Y REHABILITACION DEL CONSUMO DE DROGAS Y ALCOHOL,4
SIMPLE,4
SOCIEDAD ADMINISTRADORA DE FONDOS DE CESANTIA DE CHILE S.A.,1
SUBSECRETARIA DE BIENES NACIONALES,4
SUBSECRETARIA DE DERECHOS HUMANOS,4
SUBSECRETARIA DE DESARROLLO REGIONAL Y ADMINISTRATIVO,4
SUBSECRETARIA DE ECONOMIA Y EMPRESAS DE MENOR TAMANO,4
SUBSECRETARIA DE EDUCACION,1
SUBSECRETARIA DE EDUCACION PARVULARIA,4
SUBSECRETARIA DE ENERGIA,1
SUBSECRETARIA DE EVALUACION SOCIAL,1
SUBSECRETARIA DE HACIENDA,4
SUBSECRETARIA DE JUSTICIA,1
SUBSECRETARIA DE LA MUJER Y LA EQUIDAD DE GENERO,4
SUBSECRETARIA DE LAS CULTURAS Y LAS ARTES,4
SUBSECRETARIA DE MINERIA,4
SUBSECRETARIA DE OBRAS PUBLICAS,4
SUBSECRETARIA DE PESCA Y ACUICULTURA,4
SUBSECRETARIA DE PREVENCION DEL DELITO,4
SUBSECRETARIA DE PREVISION SOCIAL,4
SUBSECRETARIA DE REDES ASISTENCIALES,4
SUBSECRETARIA DE RELACIONES ECONOMICAS INTERNACIONALES,4
SUBSECRETARIA DE RELACIONES EXTERIORES,4
SUBSECRETARIA DE SALUD PUBLICA,1
SUBSECRETARIA DE SERVICIOS SOCIALES,1
SUBSECRETARIA DE TELECOMUNICACIONES,4
SUBSECRETARIA DE TRANSPORTES,4
SUBSECRETARIA DE VIVIENDA Y URBANISMO,1
SUBSECRETARIA DEL DEPORTE,4
SUBSECRETARIA DEL INTERIOR,4
SUBSECRETARIA DEL MEDIO AMBIENTE,4
SUBSECRETARIA DEL PATRIMONIO CULTURAL,4
SUBSECRETARIA DEL TRABAJO,1
SUBSECRETARIA GENERAL DE GOBIERNO,4
SUBSECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,4
SUBSECRETARIA PARA LAS FUERZAS ARMADAS,4
SUPERINTENDENCIA DE CASINOS DE JUEGO,4
SUPERINTENDENCIA DE EDUCACION,4
SUPERINTENDENCIA DE EDUCACION SUPERIOR,4
SUPERINTENDENCIA DE ELECTRICIDAD Y COMBUSTIBLES,4
SUPERINTENDENCIA DE INSOLVENCIA Y REEMPRENDIMIENTO,4
SUPERINTENDENCIA DE PENSIONES,4
SUPERINTENDENCIA DE SALUD,4
SUPERINTENDENCIA DE SEGURIDAD SOCIAL,1
SUPERINTENDENCIA DE SERVICIOS SANITARIOS,4
SUPERINTENDENCIA DEL MEDIO AMBIENTE,4
TERCER TRIBUNAL AMBIENTAL,4
THOMAS-SIGNE CHILE S.A,4
TRIBUNAL CALIFICADOR DE ELECCIONES DE CHILE‎,4
TRIBUNAL CONSTITUCIONAL DE CHILE,4
TRIBUNAL DE DEFENSA DE LA LIBRE COMPETENCIA,4
TRIBUNAL ELECTORAL REGION DE ANTOFAGASTA,4
TRIBUNAL ELECTORAL REGION DE ARICA Y PARINACOTA,4
TRIBUNAL ELECTORAL REGION DE BIOBIO,4
TRIBUNAL ELECTORAL REGION DE COQUIMBO,4
TRIBUNAL ELECTORAL REGION DE LOS RIOS,1
TRIBUNAL ELECTORAL REGION DE MAULE,4
TRIBUNAL ELECTORAL REGION DE O’HIGGINS,4
TRIBUNAL ELECTORAL REGION DE VALPARAISO,4
TRIBUNAL ELECTORAL REGIONAL DE TARAPACA,1
UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS,4
UNIDAD DE ANALISIS FINANCIERO,4
UNIVERSIDAD DE ANTOFAGASTA,4
UNIVERSIDAD DE CHILE,4
UNIVERSIDAD DE LA FRONTERA,3
UNIVERSIDAD DE LA SERENA,1
UNIVERSIDAD DE LOS LAGOS,1
UNIVERSIDAD DE O'HIGGINS,1
UNIVERSIDAD DE SANTIAGO DE CHILE,4
UNIVERSIDAD DE TALCA,4
UNIVERSIDAD DE TARAPACA,4
UNIVERSIDAD DEL BIOBIO,4
UNIVERSIDAD TECNOLOGICA METROPOLITANA,4
