institucion,frac_desacuerdo_con_modal,inestable_mayor_20pct
SUBSECRETARIA DE EDUCACION PARVULARIA,0.02,False
SUBSECRETARIA DE ENERGIA,0.0,False
SUBSECRETARIA DE EVALUACION SOCIAL,0.0,False
SUBSECRETARIA DE HACIENDA,0.05,False
SUBSECRETARIA DE JUSTICIA,0.0,False
SUBSECRETARIA DE LA MUJER Y LA EQUIDAD DE GENERO,0.22,True
SUBSECRETARIA DE LAS CULTURAS Y LAS ARTES,0.06,False
SUBSECRETARIA DE MINERIA,0.03,False
SUBSECRETARIA DE OBRAS PUBLICAS,0.01,False
SUBSECRETARIA DE PESCA Y ACUICULTURA,0.0,False
SUBSECRETARIA DE PREVENCION DEL DELITO,0.0,False
SUBSECRETARIA DE PREVISION SOCIAL,0.0,False
SUBSECRETARIA DE REDES ASISTENCIALES,0.0,False
SUBSECRETARIA DE RELACIONES ECONOMICAS INTERNACIONALES,0.18,False
SUBSECRETARIA DE RELACIONES EXTERIORES,0.0,False
SUBSECRETARIA DE SALUD PUBLICA,0.0,False
SUBSECRETARIA DE SERVICIOS SOCIALES,0.0,False
SUBSECRETARIA DE TELECOMUNICACIONES,0.0,False
SUBSECRETARIA DE TRANSPORTES,0.0,False
SUBSECRETARIA DE VIVIENDA Y URBANISMO,0.0,False
SUBSECRETARIA DEL DEPORTE,0.05,False
SUBSECRETARIA DEL INTERIOR,0.01,False
SUBSECRETARIA DEL MEDIO AMBIENTE,0.04,False
SUBSECRETARIA DEL PATRIMONIO CULTURAL,0.06,False
SUBSECRETARIA DEL TRABAJO,0.0,False
SUBSECRETARIA GENERAL DE GOBIERNO,0.05,False
SUBSECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,0.08,False
SUBSECRETARIA PARA LAS FUERZAS ARMADAS,0.0,False
SUPERINTENDENCIA DE CASINOS DE JUEGO,0.0,False
SUPERINTENDENCIA DE EDUCACION,0.0,False
SUPERINTENDENCIA DE EDUCACION SUPERIOR,0.0,False
SUPERINTENDENCIA DE ELECTRICIDAD Y COMBUSTIBLES,0.0,False
SUPERINTENDENCIA DE INSOLVENCIA Y REEMPRENDIMIENTO,0.0,False
SUPERINTENDENCIA DE PENSIONES,0.0,False
SUPERINTENDENCIA DE SALUD,0.0,False
SUPERINTENDENCIA DE SEGURIDAD SOCIAL,0.0,False
SUPERINTENDENCIA DE SERVICIOS SANITARIOS,0.0,False
SUPERINTENDENCIA DEL MEDIO AMBIENTE,0.04,False
