client_id,nombre_app,institucion,sector
59eb3d7b277b45e8a38ba66d37469c1d,Certificado Capacitación,Instituto de Salud Pública de Chile,Ministerio de Salud
71f7c8bdd35144d0880e3ddde29f4a1a,Certificados Estudios Online,Armada de Chile,Ministerio de Defensa Nacional
64b50202d6b74bfcb78c7342823e0f4f,Cesantía,Comisión Administradora del Sistema de Créditos para Estudios Superiores,Servicio
67757bf5d4864089a6babe3f12a93123,Cesantía 2,Comisión Administradora del Sistema de Créditos para Estudios Superiores,Servicio
7334b50fca124ff4a9a68bcb86eb3582,CFT Estatal Tarapaca,Centro de Formación Técnica de la Región de Tarapacá,Ministerio de Educación
70fd978d824c4fdc909e815f04cbb466,CGR,Contraloría General de la República,Contraloría
1f1e9708d7004f8c838ab1eba1d8460a,chanco.powerdocs.cl,Municipalidad de Chanco,Municipalidad
97b8b2e1c99e417cb891f653e7f874dd,Chat Salud Digital,Subsecretaría de Redes Asistenciales,Ministerio de Salud
e1ce4963b14f4377a473c48630795a8c,Chequeo Digital,Subsecretaría de Economía y Empresas de Menor Tamaño,"Ministerio de Economía, Fomento y Turismo"
7f629294ed8c447bb8b6e5c6a07744c2,Chile Atiende en el Exterior,Secretaría de Gobierno Digital,Ministerio de Hacienda
296594dab1cb4ff5bfcc6c2085c10db0,Chile Atiende en el Exterior,Secretaría de Gobierno Digital,Ministerio de Hacienda
3616e57471f54d9a9f56a28a61d07201,Chile Patrimonios,Subsecretaría del Patrimonio Cultural,"Ministerio de las Culturas, las Artes y el Patrimonio"
66a493258641428ea9797fbe33fc8b27,ChileAtiende,Instituto de Previsión Social,Ministerio del Trabajo y Previsión Social
a4f85f52345a4a36b8453d4dbc768211,ChileAtiende 2,Instituto de Previsión Social,Ministerio del Trabajo y Previsión Social
3b73e41e1ad8446daaf873d6ab4ece48,ChileAtiende 3,Instituto de Previsión Social,Ministerio del Trabajo y Previsión Social
0d9311646b4f47ccb352ac53eeb1d847,ChileAtiende 4,Instituto de Previsión Social,Ministerio del Trabajo y Previsión Social
e91245001db443b89e1bd4ba9c990ebb,ChileAtiende 5,Secretaría de Gobierno Digital,Ministerio de Hacienda
e2eaf95c2e394dc588f1f5e272aff43d,ChileAtiende Test,Instituto de Previsión Social,Ministerio del Trabajo y Previsión Social
df1ee21c38dd419ca54654562bc285ff,chileatiende test 2,Secretaría de Gobierno Digital,Ministerio de Hacienda
d73213463d8a4eacbb6d6905a607c5ce,ChileAtiendeBeta,Instituto de Previsión Social,Ministerio del Trabajo y Previsión Social
4bb573e349504824b5b5a050a83e094d,ChileCompra - Centro de Ayuda,Dirección de Compras y Contratación Pública,Ministerio de Hacienda
95221aafd854445babe7c42b2b437a03,Clase Media Protegida,Ministerio de Desarrollo Social y Familia,Ministerio de Desarrollo Social y Familia
