item1,item2,frequency
Autenticación TGR: Servicio de Tesorerías,SIMPLE CEROFILAS: Servicio de Tesorerías,503
Comisaría Virtual: Carabineros de Chile,Registro Civil: SRCeI,494
Candidaturas: servicio electoral,PJUD: PODER JUDICIAL,486
ChileAtiende: Instituto de Previsión Social,PJUD: PODER JUDICIAL,473
Comisaría Virtual: Carabineros de Chile,PJUD: PODER JUDICIAL,471
Registro Civil: SRCeI,Resultados Subsidio Eléctrico: Subsecretaría de Energía,452
Autenticación TGR: Servicio de Tesorerías,undefinedCMF: Comisión para el Mercado Financiero,431
Comisaría Virtual: Carabineros de Chile,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,427
Autenticación TGR: Servicio de Tesorerías,Single Sign-On: Subsecretaría de Transportes,408
MEVACUNO: Subsecretaría de Redes Asistenciales,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,406
Patrocinios: Servicio Electoral,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,400
Comisaría Virtual: Carabineros de Chile,Portal Servel: Servicio Electoral,387
Contraloria General de la Republica: CONTRALORIA,PJUD: PODER JUDICIAL,371
Portal de Aplicaciones Sence: Servicio Nacional de Capacitacion y Empleo,Resultados Subsidio Eléctrico: Subsecretaría de Energía,370
Comisaría Virtual: Carabineros de Chile,Registro Civil: SRCeI,365
Devolución de Pagos en excesos: Fondo Nacional de Salud,miChileAtiende: Instituto de Previsión Social,363
Autenticación Sistemas DPP: Defensoría Penal Pública,Mi Fiscalía en Línea: Ministerio Público,356
Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,undefinedCMF: Comisión para el Mercado Financiero,350
Identidad Única - Ministerio de Vivienda y Urbanismo: Subsecretaría de Vivienda y Urbanismo,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,345
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,SIMPLE: Municipalidad de Puente Alto,345
DIPRECA: Dirección de Previsión de Carabineros de Chile,DIPRECA: Dirección de Previsión de Carabineros de Chile,341
Superintendencia en Línea - Mi Portal: Superintendencia de Seguridad Social,undefinedSII: Servicio de Impuestos Internos,338
Servicios en linea: Caja de Previsión de la Defensa Nacional,undefinedSII: Servicio de Impuestos Internos,333
Acceso Clave Unica UFRO: Universidad de La Frontera,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,330
FONASA - Portal Beneficiario: Fondo Nacional de Salud,Resultados Subsidio Eléctrico: Subsecretaría de Energía,327
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Secretaría de Gobierno Digital,324
PJUD: PODER JUDICIAL,Portal Servel: Servicio Electoral,324
Comisaría Virtual: Carabineros de Chile,PJUD: PODER JUDICIAL,321
IMG: MDS,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,319
Resultados Subsidio Eléctrico: Subsecretaría de Energía,undefinedSII: Servicio de Impuestos Internos,310
Sanidad Naval: Sanidad Naval de la Armada de Chile,Servicios en linea: Caja de Previsión de la Defensa Nacional,306
Plataforma de Capacitación Censo: Instituto Nacional de Estadísticas,undefinedSII: Servicio de Impuestos Internos,304
Protección Social: MDS,Resultados Subsidio Eléctrico: Subsecretaría de Energía,302
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Portal Ciudadano ClaveÚnica: Secretaría de Gobierno Digital,294
undefinedCMF: Comisión para el Mercado Financiero,www.sii.cl: Servicio de Impuestos Internos,292
ChileAtiende: Instituto de Previsión Social,DIPRECA: Dirección de Previsión de Carabineros de Chile,287
Devolución de Pagos en excesos: Fondo Nacional de Salud,PJUD: PODER JUDICIAL,282
FONASA - Portal Beneficiario: Fondo Nacional de Salud,www.sii.cl: Servicio de Impuestos Internos,279
Autenticacion Nube  Privada: Servicio de Impuestos Internos,PJUD: PODER JUDICIAL,267
Comisaría Virtual: Carabineros de Chile,undefinedSII: Servicio de Impuestos Internos,267
MINVU: Subsecretaría de Vivienda y Urbanismo,Resultados Subsidio Eléctrico: Subsecretaría de Energía,259
Subsidio Eléctrico: Subsecretaría de Evaluación Social,undefinedCMF: Comisión para el Mercado Financiero,259
Comisaría Virtual: Carabineros de Chile,Comisaría Virtual: Carabineros de Chile,255
Milicenciamedica.cl: Subsecretaría de Salud Pública,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,251
Candidaturas: servicio electoral,Portal Servel: Servicio Electoral,249
Sercotec: Servicio de Cooperación Técnica,undefinedSII: Servicio de Impuestos Internos,249
Resultados Subsidio Eléctrico: Subsecretaría de Energía,undefinedCMF: Comisión para el Mercado Financiero,242
Acceso Clave Unica UFRO: Universidad de La Frontera,Portal Docente Parvularia: Subsecretaría de Educación,239
Autenticación Sistemas DPP: Defensoría Penal Pública,PJUD: PODER JUDICIAL,229
Contraloria General de la Republica: CONTRALORIA,Patrocinios: Servicio Electoral,227
Contrataciones Censo 2024: Instituto Nacional de Estadísticas,Instituto Seguridad Laboral: Instituto Seguridad Laboral,226
Protección Social: MDS,bcm2.sii.cl: Servicio de Impuestos Internos,222
Comisaría Virtual: Carabineros de Chile,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",208
MEVACUNO: Subsecretaría de Redes Asistenciales,PJUD: PODER JUDICIAL,207
Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,SIMPLE: Corporación Nacional de Desarrollo Indígena,204
Devolución de Pagos en excesos: Fondo Nacional de Salud,undefinedCMF: Comisión para el Mercado Financiero,203
Autenticacion Nube  Privada: Servicio de Impuestos Internos,"undefinedAFC: Sociedad Administradora de Fondos de Cesantía de Chile II S.A., AFC Chile",196
ChileAtiende: Instituto de Previsión Social,Comisaría Virtual: Carabineros de Chile,196
ChileAtiende: Instituto de Previsión Social,Protección Social: MDS,192
Portal Servel: Servicio Electoral,Registro Social de Hogares: MINISTERIO DE DESARROLLO SOCIAL,186
