servicio_origen,servicio_destino,soporte_direccion_dominante,clasificacion_orden,frac_lag_menor_5min,frac_lag_mismo_dia_menor_60min,lag_min_p25,lag_min_mediana,lag_min_p75,lag_min_p95
9a76efc4c34e4bd7843206658dc45454,ffaec74bfd414f8394bab077a989e27f,587,mixto,0.1959,0.7189,6.5,23.0,71.5,689.8
c82f84bf3f2b451393445a0cb6883665,ae4caa1cb2154cac89440f3fe18251cb,579,mixto,0.0691,0.4957,18.0,61.0,260.5,866.1
d602a0071f3f4db8b37a87cffd89bf23,209ce526160947f0b398566cd4cbfd0d,574,mixto,0.0087,0.1132,173.25,404.0,592.0,998.5
f883bd6d70b043a09837e8b888fe3f65,2ff516ac74a44ebfa3a522adbde28a0f,566,mixto,0.0954,0.5883,13.0,43.0,116.75,575.5
91f3f86897ff4ae39e50cbd7035fa8af,5aa1a66c9e844e18a4a41740ed4aa476,538,mixto,0.0632,0.2937,49.0,149.5,280.0,468.75
209ce526160947f0b398566cd4cbfd0d,e8dde9d26979498786c6ba5a82f70ad3,538,mixto,0.1766,0.5855,6.0,23.5,163.75,906.5
67eb30db49f240b08ab2b3f422f92cdf,c82f84bf3f2b451393445a0cb6883665,536,mixto,0.0037,0.1287,144.0,391.0,708.0,1023.25
f883bd6d70b043a09837e8b888fe3f65,67339e06f4b44f78994ff4785178807a,531,mixto,0.0264,0.2505,59.5,210.0,388.5,940.0
ffaec74bfd414f8394bab077a989e27f,e8dde9d26979498786c6ba5a82f70ad3,526,mixto,0.1749,0.597,9.0,35.0,203.0,911.25
c82f84bf3f2b451393445a0cb6883665,dd7629fec91f4599b3cf8c0dd0b984ac,525,mixto,0.0648,0.4857,22.0,66.0,267.0,891.2
2549b51828ce40af920a932dd2102217,52449c34bb1e47fe81802bf322dae8ee,518,mixto,0.334,0.8533,3.0,8.0,22.0,396.15
64d9be8046574fbfbc1fb14c9912afea,347178b052294153af290d6a84589868,506,mixto,0.002,0.2391,66.0,374.0,554.25,590.0
ffaec74bfd414f8394bab077a989e27f,4a94478dd25f4430a0a023b87e11170d,489,mixto,0.2086,0.5706,6.0,35.0,412.0,1075.8
d602a0071f3f4db8b37a87cffd89bf23,2ff516ac74a44ebfa3a522adbde28a0f,483,mixto,0.0104,0.1366,132.5,364.0,574.0,955.9
c82f84bf3f2b451393445a0cb6883665,209ce526160947f0b398566cd4cbfd0d,476,mixto,0.0546,0.4895,21.0,62.0,370.5,1197.0
ffaec74bfd414f8394bab077a989e27f,dd7629fec91f4599b3cf8c0dd0b984ac,475,mixto,0.1053,0.6021,16.0,33.0,158.0,877.3
dd7629fec91f4599b3cf8c0dd0b984ac,d602a0071f3f4db8b37a87cffd89bf23,472,mixto,0.0466,0.25,59.5,221.0,494.75,1078.45
495c261c0f484bd08e232f7358452c4d,e8dde9d26979498786c6ba5a82f70ad3,469,mixto,0.4243,0.7036,2.0,8.0,93.0,956.2
d602a0071f3f4db8b37a87cffd89bf23,495c261c0f484bd08e232f7358452c4d,453,mixto,0.053,0.2406,67.0,278.0,631.0,1029.0
f883bd6d70b043a09837e8b888fe3f65,74e60dc3bc26493d81088e4d322b7c39,451,mixto,0.1796,0.7051,7.0,24.0,75.5,487.5
ffaec74bfd414f8394bab077a989e27f,2549b51828ce40af920a932dd2102217,447,mixto,0.1544,0.5503,9.0,44.0,186.0,907.0
d602a0071f3f4db8b37a87cffd89bf23,399e7fc266894562850261cfbc06b992,446,mixto,0.0045,0.1614,104.0,277.0,479.25,850.25
d602a0071f3f4db8b37a87cffd89bf23,68b13a1228424526b43e2f78716efd3b,445,mixto,0.0045,0.1371,125.0,413.0,569.0,830.0
9a76efc4c34e4bd7843206658dc45454,67eb30db49f240b08ab2b3f422f92cdf,435,mixto,0.131,0.5241,19.5,57.0,196.5,647.0
b972e814004e4624a566f308901cca7c,9c9359fefd164d388f8a5edc2bac301e,435,mixto,0.0023,0.1862,74.0,175.0,284.0,462.9
67eb30db49f240b08ab2b3f422f92cdf,4a94478dd25f4430a0a023b87e11170d,427,mixto,0.103,0.4122,19.0,128.0,340.0,938.7
c82f84bf3f2b451393445a0cb6883665,ee00832abfba40b38335ce48a12981b5,425,mixto,0.0824,0.64,12.0,32.0,109.0,847.8
d602a0071f3f4db8b37a87cffd89bf23,b972e814004e4624a566f308901cca7c,417,mixto,0.0048,0.1343,110.0,278.0,500.0,931.2
a294f813367246da949865bdf8b03f7d,ed07316d9d6344a9ab11e8a41fdc413a,414,mixto,0.0242,0.3188,48.0,98.5,180.0,374.0
01b56ab5b9be43e19fa06300994787ec,f15bd4421f604ffbae3d627bef601546,410,mixto,0.0098,0.1293,94.0,210.5,342.75,569.95
67339e06f4b44f78994ff4785178807a,123,407,mixto,0.0074,0.2383,61.5,170.0,335.5,895.1
c82f84bf3f2b451393445a0cb6883665,6a322ad743e3464bae56d2d9b180078a,394,mixto,0.1015,0.4442,12.0,74.5,308.5,1008.9
9a76efc4c34e4bd7843206658dc45454,dd7629fec91f4599b3cf8c0dd0b984ac,393,mixto,0.2239,0.7099,5.0,18.0,78.0,876.8
6a322ad743e3464bae56d2d9b180078a,e8dde9d26979498786c6ba5a82f70ad3,389,mixto,0.1774,0.4859,8.0,68.0,300.0,924.0
1ad6835586034de0b29f4a402b182c6c,4f22549f9d3a443cb041c0e55395dbf1,383,mixto,0.4752,0.8982,2.0,5.0,22.5,148.7
f883bd6d70b043a09837e8b888fe3f65,ee00832abfba40b38335ce48a12981b5,379,mixto,0.095,0.4406,24.5,70.0,199.0,831.5
eaf8f2b0ccd04cf2a7bfcf357fe88ca2,6e12533e73a048efa8bcc0a30f2b7684,369,mixto,0.0976,0.7398,10.0,26.0,63.0,545.8
ae4caa1cb2154cac89440f3fe18251cb,4a94478dd25f4430a0a023b87e11170d,368,mixto,0.0516,0.3505,31.75,187.5,633.5,1126.65
