Código del registro;Nombre del registro;Medio utilizado para obtener el dato, documento (certificado) y/o expediente;Identifique la institución que provee el dato, documento (certificado) y/o expediente que se solicita a los usuarios;Identifique el Documento (certificado) que solicita a los usuarios;Si no se encuentra en el listado, indique el nombre del dato, documento (certificado) y/o expediente que solicita a los usuarios;Identifique la Institución que provee el dato, documento (certificado) y/o expediente que se intercambia manualmente;Tipo de información que se intercambia manualmente;Identifique el documento (certificado) que se intercambia manualmente;Si no se Encuentra en el listado, indique el nombre del documento (certificado) que intercambia manualmente;Indique el nombre del dato que intercambia manualmente (separados por coma);Indique medio utilizado para interoperar electrónicamente;Seleccione institución que Provee el dato, documento (certificado) y/o expediente a través de la Red de Interoperabilidad del Estado;Seleccione el servicio web que consume a través de la Red de Interoperabilidad del Estado;Indique el nombre del Servicio web consumido a través de la Red de Interoperabilidad del Estado;Identifique la institución con la que interopera el dato, documento (certificado) y/o expediente;Indique el nombre del dato o set de datos que interopera
PT-COM00097-00223;Inscripción en el Registro de Agentes de Valores;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Certificado de Antecedentes para fines especiales;;;;;;;;;;;
PT-COM00097-00223;Inscripción en el Registro de Agentes de Valores;No hay interoperabilidad, se solicita a sus usuarios(as);Superintendencia de Insolvencia y Reemprendimiento;Certificado de Procedimientos Concursales/Quiebras (SUPERIR);;;;;;;;;;;;
PA-SUP00018-00036;Proceso de Nombramiento de Funcionarios/as;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Antecedentes, inscripción registro DGMN, Registro de deudores de alimentos
PA-SUP00018-00038;Procedimiento de Mejora de Grados;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Antecedentes, inscripción registro DGMN, Registro de deudores de alimentos
PA-AGN00599-00039;Derecho de sala cuna y beneficio facultativo de jardín infantil;No hay interoperabilidad, se solicita a sus usuarios(as);Junta Nacional de Jardines Infantiles;No se encuentra certificado;Resolución de empadronamiento de la institución respectiva (Rol Junji);;;;;;;;;;;
PA-AGN00599-00039;Derecho de sala cuna y beneficio facultativo de jardín infantil;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Certificado de nacimiento ;;;;;;;;;;;
TR-INS00067-01079;NEISSERIA MENINGITIDIS INVASOR VIGILANCIA;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;RUN
TR-INS00067-01080;NEISSERIA GONORRHOEAE VIGILANCIA;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;RUN
TR-INS00067-01081;MYCOPLASMA PNEUMONIAE DIAGNÓSTICO MOLECULAR EN MUESTRA CLÍNICA;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;RUN
TR-INS00067-01082;MICOBACTERIAS IDENTIFICACIÓN POR TÉCNICAS MOLECULARES;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;RUN
PT-SUB00056-00034;Bono de Desempeño Laboral;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Junta Nacional de Jardines Infantiles;Dato o set de datos;;;nomina de potenciales beneficiados;;;;;;
TR-INS00067-01104;MICOBACTERIAS IDENTIFICACIÓN POR TÉCNICA ESTÁNDAR;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;RUN
TR-INS00067-01105;METAPNEUMOVIRUS INMUNOFLUORESCENCIA INDIRECTA;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;RUN
TR-INS00067-01106;MENINGITIS BACTERIANA VIGILANCIA EN CULTIVOS NEGATIVOS;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;RUN
PA-SUB00056-00044;Procedimiento del proceso de remuneraciones y honorarios de la Subsecretaría de Educación Parvularia;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Impuestos Internos;Dato o set de datos;;;uf, utm;;;;;;
PT-GOR00569-00025;Postulación, asignación y rendición de fondos concursables del 8% del Fondo Nacional de Desarrollo Regional (FNDR);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Personería Jurídica de la Organización;;;;;;;;;;;
PT-GOR00569-00026;Postulación y asignación de iniciativas al Fondo Regional para la Productividad y el Desarrollo (FRPD);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de directorio de persona Jurídica (SRCeI);;;;;;;;;;;;
PT-SER00605-00024;SALIDAS PEDAGÓGICAS;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Subsecretaría de Educación;RESOLUCIÓN EXENTA DE AUTORIZACIÓN SALIDAS PEDAGÓGICAS
TR-INS00067-01116;CERTIFICADO DE EXPORTACIÓN PRODUCTOS ESTUPEFACIENTES/PSICOTRÓPICOS/PRECURSORES/PSICOACTIVOS.;No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Relaciones Exteriores;No se encuentra certificado;apostilla electrónica;;;;;;;;;;;
PA-SUB00063-00066;Consulta Indígena;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Corporación Nacional de Desarrollo Indígena;Dato o set de datos;;;Registro de comunidades y asociaciones indígenas;;;;;;
PA-UNI00003-00079;Presentación de Licencia Médica (Funcionaria/o);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Instituto de Salud Pública de Chile;Licencia Médica
PT-SER00605-00025;Elaboración del Plan Anual Local ;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Dirección de Educación Pública;Dato o set de datos;;;Matrícula de establecimientos escolares y jardines, asistencia de establecimientos escolares y jardines;;;;;;
PT-SER00605-00026;Elaboración del Plan Estratégico Local;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Dirección de Educación Pública;Guías metodológicas
PA-UNI00003-00082;Solicitud de Permiso nacimiento hijo(a);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de nacimiento para todo trámite (SRCeI);;;;;;;;;;;;
PA-UNI00003-00086;Permiso de Matrimonio o Unión Civil;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de matrimonio para todo trámite (SRCeI);;;;;;;;;;;;
TR-INS00067-01137;CLOSTRIDIUM BOTULÍNICO DETECCIÓN.;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría de Salud Pública;Documento (certificado) y/o expediente;No se encuentra certificado;Formulario notificación obligatoria;;;;;;;
PT-SER00605-00030;Creación de Cursos para Reconocimiento Oficial;No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Educación;No se encuentra certificado;Carpeta jurídico administrativo, pedagógica e infraestructura.;;;;;;;;;;;
PT-COM00097-00233;Anotación en el Registro de Corredores de seguros de vida y generales (PJ) ;No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de Estatutos Actualizado, Certificado de vigencia, Certificado de anotaciones y Certificado de migración;;;;;;;;;;;
PT-COM00097-00235;Inscripción en el registro de Corredores de seguros de vida y generales (PN);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de nacimiento para todo trámite (SRCeI);;;;;;;;;;;;
PT-COM00097-00235;Inscripción en el registro de Corredores de seguros de vida y generales (PN);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Certificado de Antecedentes para fines especiales;;;;;;;;;;;
PT-COM00097-00235;Inscripción en el registro de Corredores de seguros de vida y generales (PN);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio Nacional de Migraciones;No se encuentra certificado;Permiso de residencia o permanencia definitiva y copia de la cédula de identidad para extranjeros al día, en caso de ser extranjero.;;;;;;;;;;;
PT-COM00097-00235;Inscripción en el registro de Corredores de seguros de vida y generales (PN);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Educación;No se encuentra certificado;Licencia de educación media o estudios equivalentes, si correspondiere.;;;;;;;;;;;
PT-COM00097-00235;Inscripción en el registro de Corredores de seguros de vida y generales (PN);No hay interoperabilidad, se solicita a sus usuarios(as);Superintendencia de Insolvencia y Reemprendimiento;Certificado de Procedimientos Concursales/Quiebras (SUPERIR);;;;;;;;;;;;
PT-COM00097-00235;Inscripción en el registro de Corredores de seguros de vida y generales (PN);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Educación;No se encuentra certificado;En caso de extranjeros: Certificado de Reconocimiento de Estudios realizados en el extranjero correspondiente, emitido por el Ministerio de Educación;;;;;;;;;;;
PT-COM00097-00235;Inscripción en el registro de Corredores de seguros de vida y generales (PN);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de Profesionales (SRCeI);;;;;;;;;;;;
PT-COM00097-00235;Inscripción en el registro de Corredores de seguros de vida y generales (PN);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Cédula de identidad;;;;;;;;;;;
PT-COM00097-00236;Anotación en el Registro de Corredores de seguros de vida y generales (PN) ;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de nacimiento para todo trámite (SRCeI);;;;;;;;;;;;
PA-SER00605-00038;Formulación de Programa de mejoramiento de gestión (PMG);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Tesorerías;No aplica
PA-SSS00093-00091;Plan anual de auditoría;No hay interoperabilidad, se solicita a sus usuarios(as);Consejo de Auditoría Interna General de Gobierno;No se encuentra certificado;ordinario que contiene los objetivos gubernamentales ;;;;;;;;;;;
PA-SSS00093-00091;Plan anual de auditoría;No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Redes Asistenciales;No se encuentra certificado;ordinario que contiene los objetivos ministeriales;;;;;;;;;;;
PT-COM00097-00240;Inscripción en el registro de Corredores de seguros de vida y generales (PJ);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de nacimiento para todo trámite (SRCeI);;;;;;;;;;;;
PT-COM00097-00240;Inscripción en el registro de Corredores de seguros de vida y generales (PJ);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Certificado de Antecedentes para fines especiales;;;;;;;;;;;
PT-COM00097-00240;Inscripción en el registro de Corredores de seguros de vida y generales (PJ);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio Nacional de Migraciones;No se encuentra certificado;Permiso de residencia o permanencia definitiva y copia de la cédula de identidad para extranjeros al día, en caso de ser extranjero.;;;;;;;;;;;
PT-COM00097-00240;Inscripción en el registro de Corredores de seguros de vida y generales (PJ);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de Estatutos Actualizado, Certificado de vigencia, Certificado de anotaciones y Certificado de migración;;;;;;;;;;;
PT-COM00097-00240;Inscripción en el registro de Corredores de seguros de vida y generales (PJ);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de Profesionales (SRCeI);;;;;;;;;;;;
PT-COM00097-00240;Inscripción en el registro de Corredores de seguros de vida y generales (PJ);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;No se encuentra certificado;Cédula de identidad;;;;;;;;;;;
PT-COM00097-00240;Inscripción en el registro de Corredores de seguros de vida y generales (PJ);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Educación;No se encuentra certificado;En caso de extranjeros: Certificado de Reconocimiento de Estudios realizados en el extranjero correspondiente, emitido por el Ministerio de Educación;;;;;;;;;;;
PT-COM00097-00240;Inscripción en el registro de Corredores de seguros de vida y generales (PJ);No hay interoperabilidad, se solicita a sus usuarios(as);Superintendencia de Insolvencia y Reemprendimiento;Certificado de Procedimientos Concursales/Quiebras (SUPERIR);;;;;;;;;;;;
PA-SSS00093-00156;SERVICIO DE TRANSPORTE PARA ESCUELA DE VERANO;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Dirección de Compras y Contratación Pública;Orden de compra, certificado de disponibilidad, actos administrativos e informes de evaluación
PA-SSS00093-00157;ADQUISICIÓN DE TARJETA GIFT CARD DE LIBRERÍA;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Dirección de Compras y Contratación Pública;Orden de compra, certificado de disponibilidad, actos administrativos e informes de evaluación
PA-SSS00093-00158;Pago cuidado alternativo infantil;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Contraloría General de la República;Rex. Pago cuidado alternativo infantil
PA-SSS00093-00159;Pago sala cuna;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Contraloría General de la República;Rex. Pago de Sala Cuna
PA-SSS00093-00160;ADQUISICIÓN DE MONITORES PARA ESCUELA DE VERANO;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Dirección de Compras y Contratación Pública;Orden de compra, certificado de disponibilidad, actos administrativos e informes de evaluación
PA-SSS00093-00161;ADQUISIÓN DE VIAJE DE CUARTOS MEDIOS;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Dirección de Compras y Contratación Pública;Orden de compra, certificado de disponibilidad, actos administrativos e informes de evaluación
PA-SSS00093-00162;ADQUISICIÓN DE GIFT CARD NAVIDEÑAS;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Dirección de Compras y Contratación Pública;Orden de compra, certificado de disponibilidad, actos administrativos e informes de evaluación
PA-SSS00093-00163;ADQUISIÓN DE SERVICIOS DE ALIMENTACIÓN PARA LOS PARTICIPANTES DEL LA ESCUELA DE VERANO;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Dirección de Compras y Contratación Pública;Orden de compra, certificado de disponibilidad, actos administrativos e informes de evaluación
PA-SSS00093-00164;SERVICIO DE SALVAVIDAS EN RECINTO EL REMOLINO DE SANTA JUANA;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Dirección de Compras y Contratación Pública;Orden de compra, certificado de disponibilidad, actos administrativos e informes de evaluación
PA-SSS00093-00164;SERVICIO DE SALVAVIDAS EN RECINTO EL REMOLINO DE SANTA JUANA;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Dirección de Compras y Contratación Pública;Orden de compra, certificado de disponibilidad, actos administrativos e informes de evaluación
PA-SSS00093-00209;Procedimiento ley 20.000;No hay interoperabilidad, se solicita a sus usuarios(as);Instituto de Salud Pública de Chile;No se encuentra certificado;protocolo de analisis;;;;;;;;;;;
TR-INS00067-01231;Adicional de Autorización de libros electrónico o manual de Botiquines sobre 200 hojas (por cada 100 hojas adicionales).;No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Salud Pública;No se encuentra certificado;Resolución de Autorización del establecimiento para el cual se solicita la autorización;;;;;;;;;;;
PT-UNI00003-00094;Ingreso especial para persona con discapacidad visual;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio Nacional de la Discapacidad;No se encuentra certificado;Credencial o certificado de discapacidad;;;;;;;;;;;
TR-INS00067-01263;CERTIFICADO DE IMPORTACION DE PSICOACTIVOS/PRECURSORES.;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;inicio de actividades;;;;;;;;;;;
PT-COM00097-00245;Cancelación en el Registro de Corredores de seguros de vida y generales (PN);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de defunción (SRCeI);;;;;;;;;;;;
TR-INS00067-01365;Autorización de libros electrónico o manual, de medicamentos sujetos a control legal, hasta 200 hojas Farmacias y Droguerías.;No hay interoperabilidad, se solicita a sus usuarios(as);Instituto de Salud Pública de Chile;No se encuentra certificado;Resolución de autorización;;;;;;;;;;;
TR-INS00067-01366;Autorización de libros electrónico o manual, de registros hasta 200 hojas Almacén Farmacéutico.;No hay interoperabilidad, se solicita a sus usuarios(as);Instituto de Salud Pública de Chile;No se encuentra certificado;Resolución de autorización;;;;;;;;;;;
TR-INS00067-01367;Adicional de Autorización de libros electrónico o manual de Almacenes Farmaceuticos sobre 200 hojas (por cada 100 hojas adicionales).;No hay interoperabilidad, se solicita a sus usuarios(as);Instituto de Salud Pública de Chile;No se encuentra certificado;Resolución Autorización;;;;;;;;;;;
TR-INS00067-01368;Autorización de libros electrónico o manual, de registros hasta 200 hojas Botiquín.;No hay interoperabilidad, se solicita a sus usuarios(as);Instituto de Salud Pública de Chile;No se encuentra certificado;Resolución;;;;;;;;;;;
TR-INS00067-01375;Denuncias relacionadas con productos sometidos a control sanitario.;No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Salud Pública;No se encuentra certificado;datos Midas, Deis;;;;;;;;;;;
TR-INS00067-01375;Denuncias relacionadas con productos sometidos a control sanitario.;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;inicio de actividades;;;;;;;;;;;
TR-INS00067-01376;ACTUALIZACIÓN ARCHIVO MAESTRO DEL SITIO (SITE MASTER FILE);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;inicio de actividades;;;;;;;;;;;
TR-INS00067-01397;Notificaciones a la autoridad relacionadas a productos, establecimientos y profesionales según lo dispuesto en el código sanitario y sus reglamentos;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;inicio de actividades;;;;;;;;;;;
PA-SER00605-00044;EJECUCIÓN DE PROYECTOS DE INFRAESTRUCTURA;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Dirección de Educación Pública;Solicitud modificaciones presupuestarias
PA-SER00605-00045;DESARROLLO DE PROYECTOS DE INVERSIÓN;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Dirección de Educación Pública;ELEGIBILIDAD DE INICIATIVA DE INVERSIÓN
PA-SER00605-00045;DESARROLLO DE PROYECTOS DE INVERSIÓN;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Subsecretaría de Evaluación Social;ADMISIBILIDAD - RATE - RS
PA-SER00605-00046;EVALUACIÓN CUMPLIMIENTO CONVENIO DE DESEMPEÑO COLECTIVO;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Subsecretaría de Educación;Oficio Ord. del Ministerio de Educación que informa grado de cumplimiento de las Metas de Desempeño Colectivo.
PA-SER00605-00047;EVALUACIÓN CONVENIO DE GESTIÓN SEGUNDO NIVEL JERÁRQUICO ADP;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Dirección Nacional del Servicio Civil;EVALUACIÓN ADP SEGUNDO NIVEL JERÁRQUICO
PT-GOR00570-00048;Postulación a Fondos Concursables FNDR 8%;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de Inscripción en el Registro de Personas Jurídicas sin fines de lucro;;;;;;;;;;;;
PT-GOR00570-00048;Postulación a Fondos Concursables FNDR 8%;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Subsecretaría de Hacienda;Documento (certificado) y/o expediente;Certificado de inscripción en el Registro Central de Colaboradores del Estado y Municipalidades;;;;;;;;
TR-SUP00552-00063;Prórroga de Desplazamiento;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Subsecretaría de Previsión Social;Oficio que contiene la autorización de Prórroga de desplazamiento
PA-SER00605-00053;Compras - Convenio Marco (mayor a 1.000 UTM);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Dirección de Presupuestos;ORDEN DE COMPRA
PA-SUB00063-00073;Nombramientos;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Contraloría General de la República;Dato o set de datos;;;Datos Funcionario;;;;;;
PA-SUB00063-00073;Nombramientos;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de nacimiento para todo trámite (SRCeI);;;;;;;;;;;;
PA-SUB00063-00073;Nombramientos;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de antecedentes (SRCeI);;;;;;;;;;;;
PA-SUB00063-00073;Nombramientos;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección General de Movilización Nacional;Certificado de situación militar al día (DGMN);;;;;;;;;;;;
PA-SUB00063-00073;Nombramientos;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Registro Civil e Identificación;Documento (certificado) y/o expediente;No se encuentra certificado;Registro Nacional de Deudores de Pensión de Alimentos;;;;;;;
PA-SUB00063-00073;Nombramientos;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Registro Civil e Identificación;Documento (certificado) y/o expediente;Consultar inhabilidades para trabajar con menores de edad;;;;;;;;
PA-SUB00063-00074;Contratación de Honorarios;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Contraloría General de la República;Dato o set de datos;;;Datos Funcionario;;;;;;
PA-SUB00063-00074;Contratación de Honorarios;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de nacimiento para todo trámite (SRCeI);;;;;;;;;;;;
PA-SUB00063-00074;Contratación de Honorarios;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de antecedentes (SRCeI);;;;;;;;;;;;
PA-SUB00063-00074;Contratación de Honorarios;No hay interoperabilidad, se solicita a sus usuarios(as);Dirección General de Movilización Nacional;Certificado de situación militar al día (DGMN);;;;;;;;;;;;
PA-SUB00063-00074;Contratación de Honorarios;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Registro Civil e Identificación;Documento (certificado) y/o expediente;No se encuentra certificado;Registro Nacional de Deudores de Pensión de Alimentos;;;;;;;
PA-SUB00063-00074;Contratación de Honorarios;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio de Registro Civil e Identificación;Documento (certificado) y/o expediente;Consultar inhabilidades para trabajar con menores de edad;;;;;;;;
PT-SUB00047-00129;Cobro de patente única pesquera;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio Nacional de Pesca y Acuicultura;No se encuentra certificado;Oficio;;;;;;;;;;;
PT-GOR00565-00079;Solicitud de Financiamiento - FNDR Asignación Directa;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de directorio de persona Jurídica (SRCeI);;;;;;;;;;;;
PT-GOR00565-00079;Solicitud de Financiamiento - FNDR Asignación Directa;No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Desarrollo Regional y Administrativo;No se encuentra certificado;Certificado de persona jurídica receptora de fondos públicos;;;;;;;;;;;
PA-SER00605-00068;Plan anual de comunicaciones;No hay interoperabilidad, se intercambia manualmente con la institución;;;;Servicio Local de Educación Pública de Valparaíso;Dato o set de datos;;;PLAN ANUAL DE COMUNICACIONES 2025;;;;;;
PA-INS00557-00185;Solicitud de Préstamo Habitacional;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de matrimonio para todo trámite (SRCeI);;;;;;;;;;;;
PA-INS00557-00185;Solicitud de Préstamo Habitacional;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de Acuerdo de Unión Civil para todo trámite (SRCeI);;;;;;;;;;;;
TR-SER00103-00180;Inscripción en el Registro Nacional de Actividades Conexas de la Pesca Artesanal (RAC);No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de nacimiento para todo trámite (SRCeI);;;;;;;;;;;;
PA-INS00557-00186;Solicitud de Subsidio Siniestro;No hay interoperabilidad, se solicita a sus usuarios(as);Carabineros de Chile;No se encuentra certificado;certificado de siniestros, Fibe documento de municipalidad afectada;;;;;;;;;;;
PA-SER00605-00069;Compras - Trato Directo;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Dirección de Presupuestos;ORDEN DE COMPRA
PA-SER00605-00070;Compras - Licitación (mayor a 10.000 UTM);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Dirección de Presupuestos;ORDEN DE COMPRA
PA-SER00605-00071;Compras - Licitación (mayor o igual a 100 UTM y menor a 1.000 UTM);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Dirección de Presupuestos;ORDEN DE COMPRA
PA-INS00557-00188;Solicitud De Ayuda Solidaria;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de nacimiento para todo trámite (SRCeI);;;;;;;;;;;;
PT-INS00555-00053;Postulación a Programa Cultivos Tradicionales;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza la Red de Interoperabilidad del Estado;SERVICIO REGISTRO CIVIL E IDENTIFICACION;INFORMACION PERSONAL;Base de Datos Registro Civil;;
PT-INS00555-00055;Postulación al Programa Transición a la Agricultura Sostenible (TAS );Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza la Red de Interoperabilidad del Estado;SERVICIO REGISTRO CIVIL E IDENTIFICACION;INFORMACION PERSONAL;Banco de Datos Registro Civil;;
PT-INS00555-00056;Postulación al Programa Mi Primer Negocio Rural;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Impuestos Internos;No se encuentra certificado;Carpeta tributaria;;;;;;;;;;;
PT-INS00555-00056;Postulación al Programa Mi Primer Negocio Rural;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza la Red de Interoperabilidad del Estado;SERVICIO REGISTRO CIVIL E IDENTIFICACION;INFORMACION PERSONAL;Base de datos del regristro civil;;
PT-SER00130-00028;CONVOCATORIA Y EVALUACIÓN DE CONCURSOS ADP ADSCRITOS, NO ADSCRITOS Y DAEM MAYOR O IGUAL A 1200;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de antecedentes (SRCeI);;;;;;;;;;;;
PT-SER00130-00028;CONVOCATORIA Y EVALUACIÓN DE CONCURSOS ADP ADSCRITOS, NO ADSCRITOS Y DAEM MAYOR O IGUAL A 1200;Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza la Red de Interoperabilidad del Estado;SERVICIO REGISTRO CIVIL E IDENTIFICACION;INFORMACION PERSONAL PROFESIONAL SERCVL;Información del registro de profesionales;;
PT-SER00130-00029;COMPLEMENTA NÓMINA DE CONCURSOS ADP ADSCRITOS;No hay interoperabilidad, se solicita a sus usuarios(as);Servicio de Registro Civil e Identificación;Certificado de antecedentes (SRCeI);;;;;;;;;;;;
PT-SER00130-00036;GENERAR INFORME DE CUMPLIMIENTO DEL MONITOREO DE LAS NORMAS DE APLICACIÓN GENERAL (NAG);No hay interoperabilidad, se solicita a sus usuarios(as);Dirección de Presupuestos;No se encuentra certificado;Dotación;;;;;;;;;;;
