Código del registro;Nombre del registro;Medio utilizado para obtener el dato, documento (certificado) y/o expediente;Identifique la institución que provee el dato, documento (certificado) y/o expediente que se solicita a los usuarios;Identifique el Documento (certificado) que solicita a los usuarios;Si no se encuentra en el listado, indique el nombre del dato, documento (certificado) y/o expediente que solicita a los usuarios;Identifique la Institución que provee el dato, documento (certificado) y/o expediente que se intercambia manualmente;Tipo de información que se intercambia manualmente;Identifique el documento (certificado) que se intercambia manualmente;Si no se Encuentra en el listado, indique el nombre del documento (certificado) que intercambia manualmente;Indique el nombre del dato que intercambia manualmente (separados por coma);Indique medio utilizado para interoperar electrónicamente;Seleccione institución que Provee el dato, documento (certificado) y/o expediente a través de la Red de Interoperabilidad del Estado;Seleccione el servicio web que consume a través de la Red de Interoperabilidad del Estado;Indique el nombre del Servicio web consumido a través de la Red de Interoperabilidad del Estado;Identifique la institución con la que interopera el dato, documento (certificado) y/o expediente;Indique el nombre del dato o set de datos que interopera
PT-SUB00039-00110;0100010125_INSCRIPCION DE UN VEHICULO EN UN SERVICIO INSCRITO DE TRANSPORTE PRIVADO REMUNERADO DE PASAJEROS - AUTORIZACION GENERAL (TTEPRIV);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de los y/o las representantes legales.;;;;;;;;;;;
PT-SUB00039-00110;0100010125_INSCRIPCION DE UN VEHICULO EN UN SERVICIO INSCRITO DE TRANSPORTE PRIVADO REMUNERADO DE PASAJEROS - AUTORIZACION GENERAL (TTEPRIV);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de estatuto actualizado.;;;;;;;;;;;
PT-SUB00039-00110;0100010125_INSCRIPCION DE UN VEHICULO EN UN SERVICIO INSCRITO DE TRANSPORTE PRIVADO REMUNERADO DE PASAJEROS - AUTORIZACION GENERAL (TTEPRIV);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de anotaciones, de la correspondiente persona jurídica;;;;;;;;;;;
PT-SUB00039-00112;0100010096_RENOVACION DE INSCRIPCION DE SERVICIOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Certificado de anotaciones vigentes de vehículos motorizados (SRCeI)
PT-SUB00039-00112;0100010096_RENOVACION DE INSCRIPCION DE SERVICIOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Certificado de inscripción de vehículos motorizados (padrón)
PT-SUB00039-00112;0100010096_RENOVACION DE INSCRIPCION DE SERVICIOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Solicitud de primera inscripción o de transferencia
PT-SUB00039-00112;0100010096_RENOVACION DE INSCRIPCION DE SERVICIOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Transportes;No se encuentra certificado;resolución emitida por el Ministerio de Transportes y Telecomunicaciones (MTT) en la que se indican las Placas Patentes Únicas (PPU) de los vehículos que son beneficiarios de la Ley Nº 20.378;;;;;;;;;;;
PT-SUB00039-00112;0100010096_RENOVACION DE INSCRIPCION DE SERVICIOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Transportes;No se encuentra certificado;resolución del Ministerio de Tranportes y Telecomunicaciones (MTT) en la cual se indican las Placas Patentes Únicas (PPU) de los vehículos que acceden por concurso a nuevos cupos del parque de taxis (Ley Nº 20.867).;;;;;;;;;;;
PT-SUB00039-00112;0100010096_RENOVACION DE INSCRIPCION DE SERVICIOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de la sociedad.;;;;;;;;;;;
PT-SUB00039-00112;0100010096_RENOVACION DE INSCRIPCION DE SERVICIOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de los y/o las representantes legales.;;;;;;;;;;;
PT-SUB00039-00112;0100010096_RENOVACION DE INSCRIPCION DE SERVICIOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de estatuto actualizado.;;;;;;;;;;;
PT-SUB00039-00112;0100010096_RENOVACION DE INSCRIPCION DE SERVICIOS EN EL REGISTRO NACIONAL DE SERVICIOS DE TRANSPORTE DE PASAJEROS (RNSTP);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de anotaciones, de la correspondiente persona jurídica;;;;;;;;;;;
PT-SUB00039-00113;0100010108_DUPLICADO DE CONSTANCIA DE AUTORIZACION DE UN VEHICULO DE UN SERVICIO INSCRITO EN TRANSPORTE PRIVADO REMUNERADO DE PASAJEROS (TTEPRIV);Hay interoperabilidad electrónica con la institución;;;;;;;;;Utiliza otros Medios;;;;Servicio de Registro Civil e Identificación;Solicitud de Transferencia 
PT-SUB00039-00113;0100010108_DUPLICADO DE CONSTANCIA DE AUTORIZACION DE UN VEHICULO DE UN SERVICIO INSCRITO EN TRANSPORTE PRIVADO REMUNERADO DE PASAJEROS (TTEPRIV);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de anotaciones de la correspondiente persona jurídica, otorgado según el artículo 29 del Decreto Supremo (DS) Nº 45, de 2013, del Ministerio de Economía, Fomento y Turismo;;;;;;;;;;;
PT-SUB00039-00113;0100010108_DUPLICADO DE CONSTANCIA DE AUTORIZACION DE UN VEHICULO DE UN SERVICIO INSCRITO EN TRANSPORTE PRIVADO REMUNERADO DE PASAJEROS (TTEPRIV);No hay interoperabilidad, se solicita a sus usuarios(as);Subsecretaría de Economía y Empresas de Menor Tamaño;No se encuentra certificado;Certificado de Estatuto Actualizado;;;;;;;;;;;
PT-SUB00039-00113;0100010108_DUPLICADO DE CONSTANCIA DE AUTORIZACION DE UN VEHICULO DE UN SERVICIO INSCRITO EN TRANSPORTE PRIVADO REMUNERADO DE PASAJEROS (TTEPRIV);No hay interoperabilidad, se solicita a sus usuarios(as);Conservador de Bienes Raíces de Santiago;No se encuentra certificado;Certificado de vigencia de la sociedad.;;;;;;;;;;;
