grupo_a,grupo_b,mes,co_uso
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2024-09-01 00:00:00,213067
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2024-10-01 00:00:00,218492
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2024-11-01 00:00:00,218844
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2024-12-01 00:00:00,196605
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2025-01-01 00:00:00,206388
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2025-02-01 00:00:00,168556
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2025-03-01 00:00:00,241463
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2025-04-01 00:00:00,383405
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2025-05-01 00:00:00,221520
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2025-06-01 00:00:00,173542
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2025-07-01 00:00:00,191795
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2025-08-01 00:00:00,200386
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2025-09-01 00:00:00,174315
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2025-10-01 00:00:00,182329
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2025-11-01 00:00:00,212761
Comisión para el Mercado Financiero,Servicio de Impuestos Internos,2025-12-01 00:00:00,145086
Comisión para el Mercado Financiero,Ventanilla Única Social (servicio),2025-05-01 00:00:00,62693
Comisión para el Mercado Financiero,Ventanilla Única Social (servicio),2025-06-01 00:00:00,115986
Comisión para el Mercado Financiero,Ventanilla Única Social (servicio),2025-07-01 00:00:00,149103
Comisión para el Mercado Financiero,Ventanilla Única Social (servicio),2025-08-01 00:00:00,117458
Comisión para el Mercado Financiero,Ventanilla Única Social (servicio),2025-09-01 00:00:00,87488
Comisión para el Mercado Financiero,Ventanilla Única Social (servicio),2025-10-01 00:00:00,117926
Comisión para el Mercado Financiero,Ventanilla Única Social (servicio),2025-11-01 00:00:00,92832
Comisión para el Mercado Financiero,Ventanilla Única Social (servicio),2025-12-01 00:00:00,87285
FUAS-Mineduc (servicio),Ministerio Público,2024-01-01 00:00:00,200
FUAS-Mineduc (servicio),Ministerio Público,2024-02-01 00:00:00,495
FUAS-Mineduc (servicio),Ministerio Público,2024-03-01 00:00:00,598
FUAS-Mineduc (servicio),Ministerio Público,2024-04-01 00:00:00,206
FUAS-Mineduc (servicio),Ministerio Público,2024-05-01 00:00:00,179
FUAS-Mineduc (servicio),Ministerio Público,2024-06-01 00:00:00,120
FUAS-Mineduc (servicio),Ministerio Público,2024-07-01 00:00:00,118
FUAS-Mineduc (servicio),Ministerio Público,2024-08-01 00:00:00,157
FUAS-Mineduc (servicio),Ministerio Público,2024-09-01 00:00:00,177
FUAS-Mineduc (servicio),Ministerio Público,2024-10-01 00:00:00,2120
FUAS-Mineduc (servicio),Ministerio Público,2024-11-01 00:00:00,466
FUAS-Mineduc (servicio),Ministerio Público,2024-12-01 00:00:00,408
FUAS-Mineduc (servicio),Ministerio Público,2025-01-01 00:00:00,452
FUAS-Mineduc (servicio),Ministerio Público,2025-02-01 00:00:00,836
FUAS-Mineduc (servicio),Ministerio Público,2025-03-01 00:00:00,1215
FUAS-Mineduc (servicio),Ministerio Público,2025-04-01 00:00:00,242
FUAS-Mineduc (servicio),Ministerio Público,2025-05-01 00:00:00,320
FUAS-Mineduc (servicio),Ministerio Público,2025-06-01 00:00:00,210
FUAS-Mineduc (servicio),Ministerio Público,2025-07-01 00:00:00,239
FUAS-Mineduc (servicio),Ministerio Público,2025-08-01 00:00:00,239
FUAS-Mineduc (servicio),Ministerio Público,2025-09-01 00:00:00,306
FUAS-Mineduc (servicio),Ministerio Público,2025-10-01 00:00:00,3106
FUAS-Mineduc (servicio),Ministerio Público,2025-11-01 00:00:00,585
FUAS-Mineduc (servicio),Ministerio Público,2025-12-01 00:00:00,441
FUAS-Mineduc (servicio),Poder Judicial,2024-01-01 00:00:00,2168
FUAS-Mineduc (servicio),Poder Judicial,2024-02-01 00:00:00,5006
FUAS-Mineduc (servicio),Poder Judicial,2024-03-01 00:00:00,5696
FUAS-Mineduc (servicio),Poder Judicial,2024-04-01 00:00:00,1924
FUAS-Mineduc (servicio),Poder Judicial,2024-05-01 00:00:00,1359
FUAS-Mineduc (servicio),Poder Judicial,2024-06-01 00:00:00,1005
FUAS-Mineduc (servicio),Poder Judicial,2024-07-01 00:00:00,960
