proveedora,dueña,n_procedimientos_cpat,soporte,marginal_proveedora,marginal_dueña,lift,frac_direccion_esperada,proveedora_antes,dueña_antes,mismo_dia
Superintendencia del Medio Ambiente,Servicio de Tesorerías,1,10142,27070,1972259,2.6749142724837185,0.35442412259021255,3585,6530,27
Dirección del Trabajo,Ejército de Chile,1,10109,3044807,64725,0.722295371962671,0.5909722222222222,5957,4123,29
Servicio de Impuestos Internos,Subsecretaría de las Culturas y las Artes,3,10021,7051586,12626,1.5848820050348635,0.753309265944645,7512,2460,49
Dirección General del Territorio Marítimo y de Marina Mercante,Servicio Nacional de Pesca y Acuicultura,4,9833,103106,95903,14.002589968495741,0.6862201365187713,6434,2942,457
Superintendencia de Seguridad Social,Dirección de Previsión de Carabineros de Chile,1,9829,1395422,131194,0.7560112530376795,0.3728147305265336,3604,6063,162
Dirección del Trabajo,Universidad de Santiago de Chile,1,9474,3044807,29984,1.4612432092941388,0.6220639812945052,5853,3556,65
Superintendencia de Insolvencia y Reemprendimiento,Superintendencia de Pensiones,1,9416,144777,264497,3.462458607819671,0.5732596685082872,5188,3862,366
Superintendencia de Electricidad y Combustibles,Subsecretaría de Telecomunicaciones,1,9404,240378,99831,5.518117523197819,0.5138539042821159,4692,4439,273
Dirección del Trabajo,Dirección General de Aguas,3,9389,3044807,31459,1.3802352680120433,0.6033172819689674,5638,3707,44
Subsecretaría de Bienes Nacionales,Servicio de Tesorerías,1,9284,27711,1972259,2.391979487404405,0.24869678540399653,2290,6918,76
