institucion,marginal,n_total
MUNICIPALIDAD DE SAN JOAQUIN,535,14081161
MUNICIPALIDAD DE LAUTARO,533,14081161
MUNICIPALIDAD DE PITRUFQUEN,522,14081161
TRIBUNAL ELECTORAL REGION DE BIOBIO,518,14081161
MUNICIPALIDAD DE ESTACION CENTRAL,506,14081161
TRIBUNAL ELECTORAL REGION DE MAULE,503,14081161
PRIMER TRIBUNAL AMBIENTAL,487,14081161
MUNICIPALIDAD DE SANTA BARBARA,466,14081161
GOBIERNO REGIONAL DE LA REGION DE ANTOFAGASTA,460,14081161
MUNICIPALIDAD DE PUERTO VARAS,455,14081161
CONSEJO PARA LA TRANSPARENCIA,451,14081161
TERCER TRIBUNAL AMBIENTAL,433,14081161
DIRECCION DE ARQUITECTURA,421,14081161
SERVICIO DE SALUD ATACAMA,420,14081161
GOBIERNO REGIONAL DE LA REGION METROPOLITANA DE SANTIAGO,397,14081161
MINISTERIO SECRETARIA GENERAL DE LA PRESIDENCIA DE LA REPUBLICA,397,14081161
SIMPLE,380,14081161
MUNICIPALIDAD DE SAN FERNANDO,375,14081161
MUNICIPALIDAD DE COIHUECO,374,14081161
AGENCIA DE PROMOCION DE LA INVERSION EXTRANJERA,366,14081161
TRIBUNAL ELECTORAL REGION DE ARICA Y PARINACOTA,361,14081161
MUNICIPALIDAD DE MELIPILLA,360,14081161
TRIBUNAL ELECTORAL REGION DE ANTOFAGASTA,352,14081161
SUBSECRETARIA DE RELACIONES ECONOMICAS INTERNACIONALES,348,14081161
CONSEJO NACIONAL DE EDUCACION,343,14081161
MUNICIPALIDAD DE EL BOSQUE,341,14081161
AGENCIA DE SUSTENTABILIDAD Y CAMBIO CLIMATICO,299,14081161
TRIBUNAL ELECTORAL REGION DE COQUIMBO,297,14081161
HCC CALAMA,277,14081161
MUNICIPALIDAD DE NACIMIENTO,244,14081161
GOBIERNO REGIONAL DE LA REGION DE VALPARAISO,234,14081161
GOBIERNO REGIONAL DE LA REGION DE LA ARAUCANIA,225,14081161
UNIVERSIDAD DE O'HIGGINS,222,14081161
SUBSECRETARIA DEL MEDIO AMBIENTE,222,14081161
MUNICIPALIDAD DE ARICA,220,14081161
MUNICIPALIDAD DE CORRAL,212,14081161
MUNICIPALIDAD DE RENAICO,206,14081161
MUNICIPALIDAD DE CURARREHUE,203,14081161
MUNICIPALIDAD DE TALTAL,202,14081161
MINISTERIO DE ECONOMIA,166,14081161
MUNICIPALIDAD DE SAN PEDRO DE ATACAMA,163,14081161
INSTITUTO ANTARTICO CHILENO,160,14081161
MUNICIPALIDAD DE DONIHUE,154,14081161
TRIBUNAL ELECTORAL REGION DE LOS RIOS,144,14081161
TRIBUNAL ELECTORAL REGIONAL DE TARAPACA,144,14081161
CENTRO DE FORMACION TECNICA DE LA REGION DE VALPARAISO,138,14081161
MUNICIPALIDAD DE EL QUISCO,138,14081161
DIRECCION NACIONAL DE FRONTERAS Y LIMITES DEL ESTADO,133,14081161
JUNTA NACIONAL DE AUXILIO ESCOLAR Y BECAS,132,14081161
MINISTERIO DE ENERGIA,131,14081161
SERVICIO NACIONAL DE MIGRACIONES,131,14081161
MINISTERIO DE OBRAS PUBLICAS,130,14081161
BANCO CENTRAL DE CHILE,127,14081161
MUNICIPALIDAD DE LICANTEN,126,14081161
MUNICIPALIDAD DE RIO CLARO,121,14081161
AGROSEGUROS,114,14081161
UNIVERSIDAD DE LA SERENA,113,14081161
MUNICIPALIDAD DE HUALANE,111,14081161
COMISION CHILENA DEL COBRE,107,14081161
MUNICIPALIDAD DE PINTO,104,14081161
BID-LOCAL,101,14081161
MINISTERIO DE INTERIOR Y SEGURIDAD PUBLICA,93,14081161
MUNICIPALIDAD DE LOTA,92,14081161
MUNICIPALIDAD DE COLLIPULLI,84,14081161
MUNICIPALIDAD DE RANCAGUA,67,14081161
