institucion_origen,institucion_destino,soporte_total,n_pares_servicio,lift_max,categoria
Servicio de Impuestos Internos,Servicio Nacional de Aduanas,72585,5,2.31,candidato_sin_verificar
Fondo Nacional de Salud,Superintendencia de Insolvencia y Reemprendimiento,71913,2,1.87,candidato_sin_verificar
Servicio Nacional de Capacitación y Empleo,Fondo Nacional de Salud,71677,6,2.86,candidato_sin_verificar
Servicio de Impuestos Internos,Superintendencia de Educación,71236,2,2.09,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Subsecretaría General de Gobierno,71164,2,1.29,efecto_base_lift_bajo
Subsecretaría de Evaluación Social,Fondo de Solidaridad e Inversión Social,70903,5,31.56,candidato_sin_verificar
Comisión Administradora del Sistema de Créditos para Estudios Superiores,Servicio Agrícola y Ganadero,70232,1,1.66,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Contraloría General de la República,69481,1,1.29,efecto_base_lift_bajo
Comisión para el Mercado Financiero,Dirección General de Movilización Nacional,69434,1,1.91,candidato_sin_verificar
Dirección Nacional del Servicio Civil,Contraloría General de la República,68778,5,10.14,candidato_sin_verificar
Dirección de Compras y Contratación Pública,Contraloría General de la República,68375,5,57.58,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Servicio Nacional de Pesca y Acuicultura,68253,1,1.2,efecto_base_lift_bajo
Fondo Nacional de Salud,Universidad de Chile,68179,2,1.46,efecto_base_lift_bajo
Servicio de Registro Civil e Identificación,Subsecretaría del Interior,66654,3,1.34,efecto_base_lift_bajo
Dirección del Trabajo,Ministerio Público,66172,2,1.83,candidato_sin_verificar
Instituto de Previsión Social,Superintendencia de Pensiones,66126,1,1.56,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,Instituto de Desarrollo Agropecuario,66082,2,4.15,candidato_sin_verificar
Sociedad Administradora de Fondos de Cesantía de Chile S.A.,Fondo de Solidaridad e Inversión Social,65780,1,1.53,candidato_sin_verificar
BPO Advisors SpA,Subsecretaría de Evaluación Social,65005,2,1.86,artefacto_vus
Fondo Nacional de Salud,Superintendencia de Electricidad y Combustibles,64123,1,1.27,efecto_base_lift_bajo
Subsecretaría de Transportes,Subsecretaría de Redes Asistenciales,63626,3,2.15,candidato_sin_verificar
Subsecretaría de Salud Pública,Ministerio Público,63548,7,6.09,candidato_sin_verificar
E-Sign S.A.,Subsecretaría de Redes Asistenciales,63480,1,1.59,candidato_sin_verificar
Servicio Nacional del Consumidor,Fondo Nacional de Salud,63197,5,2.74,candidato_sin_verificar
Instituto de Previsión Social,Subsecretaría de Desarrollo Regional y Administrativo,63143,1,1.22,efecto_base_lift_bajo
Servicio Nacional del Consumidor,Subsecretaría de Evaluación Social,62967,2,2.09,artefacto_vus
Subsecretaría del Trabajo,Subsecretaría de Redes Asistenciales,62541,2,1.61,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Corporación de Fomento de la Producción,62537,1,1.29,efecto_base_lift_bajo
Subsecretaría de Vivienda y Urbanismo,Subsecretaría de Transportes,62089,2,1.75,candidato_sin_verificar
Servicio de Impuestos Internos,Consejo Nacional de Televisión,61719,4,1.83,candidato_sin_verificar
Servicio Electoral,Fondo Nacional de Salud,60961,3,1.85,candidato_sin_verificar
Servicio Agrícola y Ganadero,Dirección Nacional del Servicio Civil,59994,3,2.27,candidato_sin_verificar
Servicio de Registro Civil e Identificación,Dirección Nacional del Servicio Civil,59991,2,1.41,efecto_base_lift_bajo
Secretaría de Gobierno Digital,Comisión para la Integridad Pública y Transparencia,59835,5,46.41,candidato_sin_verificar
Fondo Nacional de Salud,Servicio Nacional del Patrimonio Cultural,59693,1,1.38,efecto_base_lift_bajo
Superintendencia de Seguridad Social,Subsecretaría de Evaluación Social,59491,6,3.2,artefacto_vus
Gendarmería de Chile,Subsecretaría de Evaluación Social,59285,4,2.79,artefacto_vus
Dirección Nacional del Servicio Civil,Subsecretaría de Redes Asistenciales,59232,6,2.7,candidato_sin_verificar
Ministerio de Desarrollo Social y Familia,E-Sign S.A.,59226,1,1.28,efecto_base_lift_bajo
Subsecretaría de Economía y Empresas de Menor Tamaño,Subsecretaría de Transportes,58964,6,2.92,candidato_sin_verificar
Servicio Nacional del Consumidor,Ministerio Público,57714,3,2.59,candidato_sin_verificar
Dirección de Compras y Contratación Pública,Subsecretaría de Evaluación Social,57648,7,5.85,artefacto_vus
Secretaría de Gobierno Digital,Superintendencia de Seguridad Social,57619,1,1.49,efecto_base_lift_bajo
Servicio de Impuestos Internos,Presidencia de la República,57271,4,1.94,candidato_sin_verificar
Subsecretaría de Evaluación Social,Subsecretaría de Educación,57161,3,2.94,candidato_sin_verificar
Subsecretaría de Economía y Empresas de Menor Tamaño,Subsecretaría de Evaluación Social,56675,2,2.11,artefacto_vus
Superintendencia de Salud,Fondo Nacional de Salud,56672,4,4.74,candidato_sin_verificar
