institucion,binarizada_constraint,binarizada_constraint_pct,binarizada_constraint_residual,binarizada_constraint_z_nulo,binarizada_effective_size,binarizada_effective_size_nx,binarizada_effective_size_pct,binarizada_efficiency,binarizada_hierarchy,binarizada_caso_borde,ponderada_constraint,ponderada_constraint_pct,ponderada_constraint_residual,ponderada_constraint_z_nulo,ponderada_effective_size,ponderada_effective_size_nx,ponderada_effective_size_pct,ponderada_efficiency,ponderada_hierarchy,ponderada_caso_borde,grado,grado_ponderado,betweenness_binaria,betweenness_binaria_pct,betweenness_ponderada,betweenness_ponderada_pct,closeness,clustering_local
CAMARA DE DIPUTADOS DE CHILE,0.024835812896899765,62.31003039513677,,,0.9999999999999537,0.9999999999999537,2.2796352583586628,0.01639344262295006,0.0,normal,0.12363228419327561,34.954407294832826,-0.023879311579826937,-1.2582124426029688,35.67139322699078,48.453323693866,37.08206686930091,0.5847769381473898,0.0015798455098673975,normal,61,24810,0.0,22.058823529411764,0.0,49.19786096256685,0.4847813040245792,1.0
OPTION,0.02442535142853652,61.09422492401215,,,1.0,1.0,21.428571428571427,0.015625,0.0,normal,0.12252556905441102,31.30699088145897,-0.023395397067591958,-1.3239728381673748,37.36872931455422,51.38839943174707,37.99392097264438,0.5838863955399097,0.0014801761356779586,normal,64,24494,0.0,22.058823529411764,0.0,49.19786096256685,0.48722969444894576,1.0
MUNICIPALIDAD DE OSORNO,0.02545744332850705,63.525835866261396,,,1.0000000000000628,1.0000000000000628,35.714285714285715,0.016949152542373946,0.0,normal,0.1289288267508817,53.49544072948328,-0.019687263105603342,-1.2117876282135405,33.46006204635914,46.570469574000754,34.650455927051674,0.5671196957010024,0.0016026296051672168,normal,59,24390,0.0,22.058823529411764,0.0,49.19786096256685,0.483162668618821,1.0
SERVICIO DE SALUD VINA DEL MAR - QUILLOTA,0.026944690099754448,67.78115501519757,,,1.0000000000000058,1.0000000000000058,27.0516717325228,0.018867924528301997,0.0,normal,0.1437407612055719,86.01823708206688,-0.008428561205397117,-1.153176473786027,27.902631119180086,40.84694434422587,26.74772036474164,0.5264647380977374,0.002239651166338718,normal,53,24116,0.0,22.058823529411764,0.0,49.19786096256685,0.4783709727316922,1.0
CENTRO DE FORMACION TECNICA DE LA REGION DE TARAPACA,0.027281903512994643,68.69300911854104,,,0.999999999999956,0.999999999999956,3.343465045592705,0.019230769230768385,0.0,normal,0.13324249278232866,68.38905775075987,-0.01955792974303089,-1.2507696817220535,29.248132486817262,39.7572794816882,29.17933130699088,0.5624640862849474,0.0017453213696731601,normal,52,23218,0.0,22.058823529411764,0.0,49.19786096256685,0.47758158168758047,1.0
MUNICIPALIDAD DE ZAPALLAR,0.025663480126807265,64.13373860182371,,,0.9999999999999569,0.9999999999999569,4.407294832826747,0.017241379310344085,0.0,normal,0.13358910990549616,70.2127659574468,-0.015593348515836825,-1.2218822097959587,32.34749683594616,45.6957657740635,34.04255319148936,0.5577154626887268,0.001970383601266721,normal,58,23122,0.0,22.058823529411764,0.0,49.19786096256685,0.48235739750445633,1.0
MINISTERIO DE RELACIONES EXTERIORES,0.026027272763303563,65.65349544072949,,,0.9999999999999405,0.9999999999999405,1.6717325227963524,0.017857142857141795,0.0,normal,0.13302462926884628,67.47720364741642,-0.01732046613625754,-1.2236347339750422,31.275610663925477,43.697083516586666,33.130699088145896,0.5584930475700978,0.0018743303458993814,normal,56,22820,0.0,22.058823529411764,0.0,49.19786096256685,0.4807548812336774,1.0
SERVICIO NACIONAL DE MENORES,0.025491099330596366,63.829787234042556,,,0.9999999999999569,0.9999999999999569,4.407294832826747,0.017241379310344085,0.0,normal,0.12241295893755978,30.69908814589666,-0.026769499483773204,-1.2943250332789693,34.03173066230206,45.47476191645892,36.17021276595745,0.5867539769362424,0.0013783903181310982,normal,58,19129,0.0,22.058823529411764,0.0,49.19786096256685,0.48235739750445633,1.0
MUNICIPALIDAD DE VILLA ALEGRE,0.026799066400621543,67.17325227963525,,,1.0000000000000584,1.0000000000000584,34.4984802431611,0.0185185185185196,0.0,normal,0.1332655558590475,68.9969604863222,-0.018284463394833833,-1.285538296604071,30.288953809028296,41.78466428438148,30.69908814589666,0.5609065520190425,0.0017387704733751543,normal,54,18798,0.0,22.058823529411764,0.0,49.19786096256685,0.47916297765343335,1.0
MUNICIPALIDAD DE SAN ANTONIO,0.02592812915438449,65.04559270516718,,,0.9999999999999405,0.9999999999999405,1.6717325227963524,0.017857142857141795,0.0,normal,0.1329655284419359,66.8693009118541,-0.01737956696316792,-1.2429022853026483,31.10838378460647,43.69313168723273,32.21884498480243,0.5555068532965441,0.0017313834891577921,normal,56,18770,0.0,22.058823529411764,0.0,49.19786096256685,0.4807548812336774,1.0
PARQUE METROPOLITANO DE SANTIAGO,0.027307990226651233,68.9969604863222,,,0.999999999999956,0.999999999999956,3.343465045592705,0.019230769230768385,0.0,normal,0.12848785498264015,51.06382978723404,-0.024312567542719404,-1.3261418764318347,29.883684797143587,39.91269633917136,29.78723404255319,0.5746862460989152,0.001507748477075403,normal,52,18662,0.0,22.058823529411764,0.0,49.19786096256685,0.47758158168758047,1.0
MUNICIPIOS,0.026134197499599783,65.95744680851064,,,1.1052631578946517,1.1052631578946517,39.209726443769,0.01939058171745003,0.0,normal,0.12141287265515376,29.17933130699088,-0.028345804711428238,-1.3103871467670531,33.55291926599208,44.55914010472097,35.56231003039514,0.5886477064209137,0.0012988631308976924,normal,57,16960,4.3482203921634175e-07,45.98930481283423,0.0,49.19786096256685,0.48155480616085483,0.9981203007518797
MUNICIPALIDAD DE PENAFLOR,0.0274007732746607,69.6048632218845,,,0.999999999999956,0.999999999999956,3.343465045592705,0.019230769230768385,0.0,normal,0.13681029037484543,77.50759878419453,-0.01599013215051412,-1.2274840403191465,28.02828919069039,39.807320177112686,27.0516717325228,0.5390055613594306,0.0018355437764526932,normal,52,16741,0.0,22.058823529411764,0.0,49.19786096256685,0.47758158168758047,1.0
MUNICIPALIDAD DE CABILDO,0.030028274477697438,73.86018237082067,,,1.0000000000000235,1.0000000000000235,32.67477203647417,0.022727272727273262,0.0,normal,0.15429060698594418,88.75379939209726,-0.004044610416438138,-1.219539242244457,22.27240128897729,32.10414123995728,19.756838905775076,0.5061909383858475,0.0025138864493748003,normal,44,16615,0.0,22.058823529411764,0.0,49.19786096256685,0.4713590203626609,1.0
MUNICIPALIDAD DE PANGUIPULLI,0.026201203036462128,66.26139817629179,,,1.2950819672130702,1.295081967213069,43.161094224924014,0.021230851921525743,0.0,normal,0.11673870269811455,15.501519756838904,-0.030772893074987998,-1.2558043260911531,37.12506996998443,48.51206613068018,37.68996960486322,0.6086077044259742,0.0012790463596594821,normal,61,16206,2.4345360031356824e-06,51.06951871657755,0.0,49.19786096256685,0.4847813040245792,0.9950819672131147
MUNICIPALIDAD DE NAVIDAD,0.026388613086875415,66.56534954407294,,,1.0000000000000584,1.0000000000000584,34.4984802431611,0.0185185185185196,0.0,normal,0.12531145985252864,40.72948328267477,-0.026238559401352696,-1.2779136271894647,31.12078296930316,41.5895964334607,32.52279635258359,0.5763107957278363,0.0014457328900161868,normal,54,16136,0.0,22.058823529411764,0.0,49.19786096256685,0.47916297765343335,1.0
MUNICIPALIDAD DE COYHAIQUE,0.02693280837992887,67.47720364741642,,,1.1785714285713706,1.1785714285713695,41.641337386018236,0.021045918367345904,0.0,normal,0.11891586176749695,22.796352583586625,-0.03142923363760687,-1.2478043228559021,33.504725870554964,43.51499273357374,35.25835866261398,0.5982986762599101,0.0013177125576169573,normal,56,15371,1.0495970734256139e-06,48.1283422459893,0.0,49.19786096256685,0.4807548812336774,0.9967532467532467
SERVICIO LOCAL DE EDUCACION PUBLICA DE COLCHAGUA,0.027660049860398304,70.2127659574468,,,0.9999999999999625,0.9999999999999625,5.015197568389058,0.019607843137254166,0.0,normal,0.13134596845963242,60.48632218844985,-0.022097809314059885,-1.2863410251404515,28.94075481516073,38.87025295979185,28.267477203647417,0.5674657806894261,0.0016217848654532224,normal,51,15132,0.0,22.058823529411764,0.0,49.19786096256685,0.47679479160242794,1.0
MUNICIPALIDAD DE VALLENAR,0.02766952804551848,70.51671732522796,,,0.9999999999999731,0.9999999999999731,7.750759878419452,0.019999999999999463,0.0,normal,0.1340483888243108,71.73252279635258,-0.02005148473016702,-1.2507039070941328,27.566834926687317,37.781277879631524,26.13981762917933,0.5513366985337463,0.0016353539175369307,normal,50,15011,0.0,22.058823529411764,0.0,49.19786096256685,0.47601058964255555,1.0
MUNICIPALIDAD DE SANTO DOMINGO,0.02717978832903073,68.08510638297872,,,0.999999999999956,0.999999999999956,3.343465045592705,0.019230769230768385,0.0,normal,0.12615271902541603,43.161094224924014,-0.026647703499943526,-1.2877920437200578,30.087272906046014,39.71985424090834,30.091185410334347,0.5786014020393464,0.0014686360141715933,normal,52,14368,0.0,22.058823529411764,0.0,49.19786096256685,0.47758158168758047,1.0
ILUSTRE MUNICIPALIDAD DE LAGO RANCO,0.027944664879892306,71.12462006079028,,,1.4074074074074638,1.4074074074074652,44.680851063829785,0.026063100137175256,0.0,normal,0.1233079773735623,32.82674772036474,-0.028242041880319035,-1.2758398671093132,31.82086297571042,41.74180957131546,33.43465045592705,0.5892752402909337,0.001402810632554816,normal,54,13814,3.49337170643687e-06,52.406417112299465,0.0,49.19786096256685,0.47916297765343335,0.9923130677847659
UNIVERSIDAD DE ANTOFAGASTA,0.02849383017567261,72.3404255319149,,,0.9999999999999698,0.9999999999999698,6.382978723404255,0.020833333333332704,0.0,normal,0.13356735331596645,69.90881458966565,-0.021885024528341374,-1.2848290929890747,26.650697073715897,36.00288180763321,25.53191489361702,0.5552228557024145,0.0016146650529505631,normal,48,13302,0.0,22.058823529411764,0.0,49.19786096256685,0.4744498991847111,1.0
SERVICIO LOCAL DE EDUCACION PUBLICA DE ANDALIEN SUR,0.02737613508847548,69.30091185410335,,,0.999999999999956,0.999999999999956,3.343465045592705,0.019230769230768385,0.0,normal,0.12628112699028496,44.680851063829785,-0.026519295535074594,-1.2686137380892497,30.277616668313655,39.84487662244046,30.3951367781155,0.5822618590060318,0.0014285902598374066,normal,52,12872,0.0,22.058823529411764,0.0,49.19786096256685,0.47758158168758047,1.0
MUNICIPALIDAD DE CASTRO,0.031069571767675292,76.59574468085107,,,0.9999999999999731,0.9999999999999731,7.750759878419452,0.023255813953487747,0.0,normal,0.1461250057522989,87.53799392097264,-0.01297189471788654,-1.2232845337671192,22.97037794648615,31.258239816327286,21.27659574468085,0.5341948359647941,0.00212643005373367,normal,43,12661,0.0,22.058823529411764,0.0,49.19786096256685,0.47059258293117684,1.0
SEGUNDO TRIBUNAL AMBIENTAL,0.02718082907430875,68.38905775075987,,,1.7931034482758208,1.7931034482758204,49.544072948328264,0.030915576694410703,0.0,normal,0.10404746494899388,0.0,-0.04513499347233911,-1.3800404553345826,38.20462250796705,45.54470784780112,38.60182370820669,0.6587003880683975,0.0009617482277813447,normal,58,12491,7.264488701039446e-06,55.080213903743314,0.0,49.19786096256685,0.48235739750445633,0.9860859044162129
SERVICIO LOCAL DE EDUCACION PUBLICA DE PUNILLA CORDILLERA,0.028528272074394463,72.64437689969606,,,1.0399999999999734,1.0399999999999734,37.08206686930091,0.020799999999999468,0.0,normal,0.1267367204154147,45.8966565349544,-0.027363153139063123,-1.2923269257888874,29.156159257959562,37.99356791453595,28.87537993920973,0.5831231851591913,0.0013596943605264655,normal,50,12376,1.41947643747185e-07,44.6524064171123,0.0,49.19786096256685,0.47601058964255555,0.9991836734693877
SUBSECRETARIA DE LA MUJER Y LA EQUIDAD DE GENERO,0.02953756298550163,73.25227963525836,,,0.9999999999999806,0.9999999999999806,12.006079027355623,0.021276595744680438,0.0,normal,0.11265045713736,6.990881458966565,-0.04349945708630054,-1.4391783102129834,30.605389400467697,34.84839906970317,31.30699088145897,0.6511784978822914,0.0013971918099123157,normal,47,12293,0.0,22.058823529411764,0.0,49.19786096256685,0.4736733854380913,1.0
SEGUNDO TRIBUNAL ELECTORAL REGION METROPOLITANA,0.028455867835903276,72.03647416413374,,,1.1568627450980018,1.156862745098002,40.72948328267477,0.022683583237215723,0.0,normal,0.1199733521395904,25.227963525835868,-0.03347042563410191,-1.3175305578152219,30.676433281994708,38.739033524957954,31.61094224924012,0.6014986918038178,0.0012141977403593654,normal,51,11167,1.2201457036992071e-06,48.93048128342246,0.0,49.19786096256685,0.47679479160242794,0.9968627450980392
SUBSECRETARIA DEL PATRIMONIO CULTURAL,0.02642002187463626,66.8693009118541,,,0.9999999999999881,0.9999999999999881,13.37386018237082,0.018181818181817966,0.0,normal,0.11507134338818974,11.854103343465045,-0.035870736712911896,-1.3057025432854021,33.99712189552604,42.562619623225906,35.86626139817629,0.6181294890095644,0.0010200489737591922,normal,55,11094,0.0,22.058823529411764,0.0,49.19786096256685,0.4799576094571704,1.0
SERVICIO DE SALUD OSORNO,0.030517054358397896,75.6838905775076,,,0.9999999999999731,0.9999999999999731,7.750759878419452,0.023255813953487747,0.0,normal,0.13918662604089455,82.06686930091185,-0.019910274429290886,-1.2955046790230567,23.390034506639807,31.105132865508406,21.88449848024316,0.5439542908520886,0.0016737573213457552,normal,43,10962,0.0,22.058823529411764,0.0,49.19786096256685,0.47059258293117684,1.0
